"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2023,202301,8114,2023000298245,19278.0,2023000081141,10001,1,2,25596.0,2,2,38,6,1,100,0,0,10,101,1,10,7000,1,11
2023,202301,8276,2023000310636,24138.0,2023000082761,130101,1,1,24138.0,1,1,26,1,1,100,0,0,0,2,1,10,40000,1,11
2023,202301,8600,2023000331541,23328.0,2023000086001,160001,1,2,12474.0,0,1,59,5,2,200,0,0,4,40,1,10,63000,1,11
2023,202301,8924,2023000352079,9072.0,2023000089241,280201,1,2,8424.0,0,1,65,1,1,100,0,0,6,63,1,10,75000,1,11
2023,202301,9248,2023000375068,11988.0,2023000092481,140101,1,2,10368.0,0,2,59,1,2,200,0,0,8,81,1,10,37400,1,11
2023,202301,9410,2023000385312,9396.0,2023000094101,280301,1,1,9396.0,0,2,59,4,1,100,0,0,10,101,1,10,68000,1,11
2023,202301,9896,2023000419106,97686.0,2023000098961,270201,1,1,97686.0,0,1,29,1,1,100,0,0,7,71,1,10,50000,2,20
2023,202301,9896,2023000419106,97686.0,2023000098961,270201,1,2,113238.0,0,2,31,1,1,100,0,0,6,63,1,10,38200,1,11
2023,202301,10544,2023000463825,6804.0,2023000105441,60001,1,1,6966.0,0,1,31,1,1,100,0,0,7,71,1,10,24000,1,11
2023,202301,10544,2023000463825,6804.0,2023000105441,60001,1,2,5508.0,0,2,26,1,1,100,0,0,7,71,1,10,24000,1,11
2023,202301,10868,2023000485073,21222.0,2023000108681,120201,1,1,21060.0,0,1,41,1,2,200,0,0,6,63,1,10,50000,1,11
2023,202301,10868,2023000485073,21222.0,2023000108681,120201,1,2,42930.0,0,2,41,1,2,200,0,0,6,65,1,10,30000,1,11
2023,202301,11030,2023000494388,12636.0,2023000110301,140401,1,1,12636.0,1,1,23,1,1,100,0,0,6,63,1,10,30000,1,11
2023,202301,11192,2023000505176,4860.0,2023000111921,150201,1,1,4860.0,2,2,56,4,1,100,0,0,6,63,1,10,27000,1,11
2023,202301,11192,2023000505176,4860.0,2023000111921,150201,1,2,5508.0,0,2,30,4,1,100,0,0,6,63,1,10,720,1,11
2023,202301,11192,2023000505176,4860.0,2023000111921,150201,1,3,10044.0,0,1,20,6,1,100,0,0,7,71,1,10,20800,1,11
2023,202301,11516,2023000525299,13932.0,2023000115161,180101,1,1,13932.0,1,2,56,1,2,200,0,0,6,63,1,10,28400,1,11
2023,202301,11516,2023000525299,13932.0,2023000115161,180101,1,3,26244.0,1,2,32,5,2,200,0,0,6,61,1,10,40000,1,11
2023,202301,11678,2023000536520,2106.0,2023000116781,50101,1,1,1944.0,0,1,33,1,1,100,0,0,11,115,1,10,0,1,11
2023,202301,11678,2023000536520,2106.0,2023000116781,50101,1,2,1620.0,0,2,33,1,1,100,0,0,11,114,1,10,10000,1,11
2023,202301,11840,2023000547960,30132.0,2023000118401,150101,1,1,30132.0,0,1,24,6,1,100,0,0,11,114,1,10,92000,1,11
2023,202301,11840,2023000547960,30132.0,2023000118401,150101,1,2,21222.0,0,2,26,6,1,100,0,0,10,101,1,10,82000,1,11
2023,202301,12164,2023000569569,32562.0,2023000121641,40301,1,1,32724.0,1,2,42,4,1,100,0,0,7,71,1,10,43000,1,11
2023,202301,12650,2023000601266,3564.0,2023000126501,150201,1,1,3726.0,2,1,38,1,1,100,0,0,5,50,1,10,100000,1,11
2023,202301,12650,2023000601266,3564.0,2023000126501,150201,1,2,4374.0,2,2,35,1,1,100,0,0,6,65,1,10,5000,1,11
2023,202301,12974,2023000622284,13284.0,2023000129741,230001,1,1,13284.0,1,2,37,6,1,100,0,0,7,71,1,10,15400,1,11
2023,202301,13136,2023000633604,1458.0,2023000131361,50101,1,1,1458.0,2,2,58,1,1,100,0,0,8,81,1,10,68000,1,11
2023,202301,13136,2023000633604,1458.0,2023000131361,50101,1,3,4374.0,0,2,26,6,8,801,0,0,8,81,1,10,32000,1,11
2023,202301,13460,2023000654060,11988.0,2023000134601,280101,1,1,11988.0,0,1,29,6,1,100,0,0,10,101,1,10,30000,1,11
2023,202301,13622,2023000664329,8100.0,2023000136221,150201,1,2,9072.0,0,2,57,1,1,100,0,0,11,114,1,10,55000,1,11
2023,202301,13784,2023000676365,20412.0,2023000137841,90001,1,1,20412.0,2,2,36,1,1,100,0,0,6,65,1,10,98000,1,11
2023,202301,14108,2023000698343,31428.0,2023000141081,60001,1,1,31428.0,1,1,40,6,1,100,0,0,10,101,1,10,70000,1,11
2023,202301,14108,2023000698343,31428.0,2023000141081,60001,1,2,29970.0,1,2,35,4,1,100,0,0,10,101,1,10,7000,1,11
2023,202301,14270,2023000711809,5184.0,2023000142701,70001,1,1,5184.0,0,1,63,4,1,100,0,0,6,63,1,10,80000,1,11
2023,202301,14594,2023000733425,18630.0,2023000145941,40301,1,1,18792.0,0,2,27,1,1,100,0,0,10,101,1,10,45000,1,11
2023,202301,14594,2023000733425,18630.0,2023000145941,40301,1,2,16686.0,0,1,33,1,1,100,0,0,10,101,1,10,60000,1,11
2023,202301,14756,2023000744487,2754.0,2023000147561,200001,1,1,2754.0,1,1,39,4,1,100,0,0,2,26,1,10,50000,1,11
2023,202301,14756,2023000744487,2754.0,2023000147561,200001,1,2,11664.0,1,2,37,4,1,100,1,100,6,63,1,10,40000,1,11
2023,202301,15080,2023000767707,5022.0,2023000150801,280101,1,1,5022.0,0,1,60,1,1,100,0,0,6,64,1,10,90000,1,11
2023,202301,15080,2023000767707,5022.0,2023000150801,280101,1,2,4212.0,0,2,56,1,1,100,0,0,6,63,1,10,145000,1,11
2023,202301,15242,2023000777174,5346.0,2023000152421,240001,1,1,5346.0,0,2,51,1,1,100,0,0,8,81,1,10,55000,1,11
2023,202301,15404,2023000789555,10530.0,2023000154041,30001,1,1,10692.0,0,2,58,6,1,100,0,0,6,63,1,10,43900,1,11
2023,202301,15566,2023000799761,7452.0,2023000155661,230001,1,1,7452.0,3,1,48,1,2,200,0,0,3,30,1,10,0,1,11
2023,202301,15566,2023000799761,7452.0,2023000155661,230001,1,2,11988.0,3,2,44,1,2,200,0,0,6,63,1,10,24000,1,11
2023,202301,15566,2023000799761,7452.0,2023000155661,230001,1,3,11664.0,0,1,20,6,2,200,0,0,6,63,1,10,16000,1,11
2023,202301,15566,2023000799761,7452.0,2023000155661,230001,1,4,16362.0,0,2,19,6,2,200,0,0,7,71,1,10,16000,1,11
2023,202301,15728,2023000809931,74682.0,2023000157281,150201,1,2,15714.0,0,1,26,6,8,802,0,0,10,101,1,10,35000,1,11
2023,202301,16052,2023000832318,12150.0,2023000160521,90001,1,1,12150.0,1,1,39,1,1,100,0,0,6,65,1,10,80000,1,11
2023,202301,16376,2023000854762,2916.0,2023000163761,230001,1,1,2916.0,0,2,60,1,1,100,0,0,11,114,1,10,34000,1,11
2023,202301,16376,2023000854762,2916.0,2023000163761,230001,1,2,2916.0,0,1,60,1,1,100,0,0,11,114,1,10,217000,1,11
2023,202301,16538,2023000864693,11502.0,2023000165381,30001,1,1,11502.0,1,1,52,1,1,100,0,0,7,71,1,10,60000,1,11
2023,202301,16538,2023000864693,11502.0,2023000165381,30001,1,2,13932.0,1,2,45,1,1,100,0,0,7,71,1,10,60000,1,11
2023,202301,16700,2023000876603,17658.0,2023000167001,170001,1,1,17658.0,0,1,60,1,1,100,0,0,6,63,1,10,90000,1,11
2023,202301,16700,2023000876603,17658.0,2023000167001,170001,1,2,13608.0,0,2,60,1,1,100,0,0,7,71,1,10,30000,1,11
2023,202301,16862,2023000887886,12150.0,2023000168621,80001,1,1,12150.0,0,2,63,1,1,100,0,0,11,115,1,10,8000,1,11
2023,202301,16862,2023000887886,12150.0,2023000168621,80001,1,2,7290.0,0,1,65,1,1,100,0,0,6,63,1,10,100000,1,11
2023,202301,17024,2023000898386,18792.0,2023000170241,140201,1,1,18792.0,0,1,25,6,1,100,0,0,10,101,1,10,70000,1,11
2023,202301,17024,2023000898386,18792.0,2023000170241,140201,1,2,16524.0,0,2,24,6,1,100,0,0,10,101,1,10,75000,1,11
2023,202301,17186,2023000910026,17334.0,2023000171861,140201,1,1,17334.0,1,2,56,4,2,200,0,0,7,71,1,10,40000,1,11
2023,202301,17186,2023000910026,17334.0,2023000171861,140201,1,2,20898.0,0,1,24,6,2,200,0,0,8,81,1,10,41400,1,11
2023,202301,17186,2023000910026,17334.0,2023000171861,140201,1,3,20898.0,0,2,30,6,2,200,0,0,10,101,1,10,31100,1,11
2023,202301,17348,2023000920682,6966.0,2023000173481,220101,1,1,6966.0,3,2,45,4,1,100,0,0,10,101,1,10,72000,1,11
2023,202301,17348,2023000920682,6966.0,2023000173481,220101,1,2,6480.0,0,2,20,6,1,100,0,0,6,63,1,10,5000,1,11
2023,202301,17834,2023000952485,7938.0,2023000178341,250001,1,1,7938.0,1,2,40,3,1,100,0,0,6,65,1,10,22900,1,11
2023,202301,18158,2023000974220,14094.0,2023000181581,140401,1,1,13932.0,1,1,46,4,1,100,0,0,10,101,1,10,72000,1,11
2023,202301,18320,2023000985865,29808.0,2023000183201,180201,1,1,29808.0,0,2,65,1,2,200,0,0,8,81,1,10,200,1,11
2023,202301,18482,2023000996992,53136.0,2023000184821,60001,1,2,32886.0,0,1,50,1,7,700,1,100,6,63,1,10,25000,1,11
2023,202301,18644,2023001007495,10368.0,2023000186441,260001,1,2,6966.0,1,2,55,1,2,200,0,0,11,115,1,10,123000,1,11
2023,202301,18968,2023001029975,27216.0,2023000189681,270201,1,1,27216.0,1,1,34,1,1,100,0,0,6,63,1,10,80000,1,11
2023,202301,18968,2023001029975,27216.0,2023000189681,270201,1,2,19926.0,1,2,32,1,1,100,0,0,10,101,1,10,44000,1,11
2023,202301,19454,2023001066106,7776.0,2023000194541,140401,1,1,7776.0,0,1,31,1,1,100,0,0,11,116,1,10,120000,1,11
2023,202301,19454,2023001066106,7776.0,2023000194541,140401,1,2,6480.0,0,2,25,1,1,100,0,0,10,101,1,10,30000,1,11
2023,202301,19616,2023001076858,20250.0,2023000196161,150201,1,1,20250.0,0,2,61,1,8,802,0,0,10,101,1,10,0,1,11
2023,202301,19616,2023001076858,20250.0,2023000196161,150201,1,2,11016.0,0,1,63,1,1,100,0,0,10,101,1,10,79000,1,11
2023,202301,19940,2023001100255,4536.0,2023000199401,50101,1,1,4374.0,0,2,54,1,1,100,0,0,6,65,1,10,79000,1,11
2023,202301,19940,2023001100255,4536.0,2023000199401,50101,1,2,5346.0,0,1,44,1,1,100,0,0,3,30,1,10,95000,1,11
2023,202301,20102,2023001110291,7452.0,2023000201021,260001,1,1,7452.0,4,1,39,1,1,100,0,0,6,65,1,10,50000,2,20
2023,202301,20102,2023001110291,7452.0,2023000201021,260001,1,2,7938.0,4,2,37,1,1,100,0,0,6,65,1,10,49000,1,11
2023,202301,20588,2023001147147,3402.0,2023000205881,30001,1,1,3402.0,0,1,63,1,1,100,0,0,6,65,1,10,98000,2,20
2023,202301,20750,2023001158595,6318.0,2023000207501,60001,1,1,6318.0,2,1,38,1,8,802,0,0,6,63,1,10,72000,1,11
2023,202301,20750,2023001158595,6318.0,2023000207501,60001,1,2,17172.0,2,2,35,1,1,100,0,0,10,101,1,10,55000,1,11
2023,202301,21074,2023001182005,11016.0,2023000210741,130101,1,1,11178.0,0,2,61,1,1,100,0,0,7,71,1,10,67000,1,11
2023,202301,21074,2023001182005,11016.0,2023000210741,130101,1,2,12798.0,0,1,61,1,1,100,0,0,6,63,1,10,150000,1,13
2023,202301,21236,2023001192655,11664.0,2023000212361,140301,1,1,11664.0,2,1,45,4,2,200,0,0,7,71,1,10,48000,1,11
2023,202301,21236,2023001192655,11664.0,2023000212361,140301,1,5,2592.0,0,1,29,6,3,361,0,0,6,63,1,10,27000,1,11
2023,202301,21722,2023001228010,18630.0,2023000217221,240001,1,1,18630.0,0,1,62,1,1,100,0,0,7,71,1,10,74000,2,20
2023,202301,22370,2023001267214,20574.0,2023000223701,270201,1,2,20250.0,0,1,27,6,8,826,4,498,6,63,1,10,13700,1,11
2023,202301,23018,2023001313427,11826.0,2023000230181,230001,1,1,11664.0,0,1,28,6,1,100,0,0,7,71,1,10,45000,1,11
2023,202301,23018,2023001313427,11826.0,2023000230181,230001,1,2,10692.0,0,1,35,6,1,100,0,0,7,71,1,10,25000,1,11
2023,202301,23180,2023001325117,9558.0,2023000231801,140401,1,1,9558.0,3,1,41,4,1,100,0,0,10,101,1,10,107000,1,11
2023,202301,23342,2023001336109,3726.0,2023000233421,230001,1,1,3888.0,0,1,60,1,1,100,0,0,6,63,1,10,40000,2,20
2023,202301,23504,2023001346606,10044.0,2023000235041,120101,1,1,10044.0,1,1,26,6,1,100,0,0,6,63,1,10,52000,1,11
2023,202301,23504,2023001346606,10044.0,2023000235041,120101,1,2,12960.0,1,2,25,6,1,100,0,0,6,65,1,10,25000,1,11
2023,202301,23666,2023001356330,52488.0,2023000236661,200001,1,1,52488.0,3,2,35,1,1,100,0,0,10,101,1,10,30000,1,11
2023,202301,23666,2023001356330,52488.0,2023000236661,200001,1,2,44712.0,3,1,35,1,1,100,0,0,6,61,1,10,30000,1,11
2023,202301,23990,2023001377041,32724.0,2023000239901,120201,1,3,86670.0,0,1,20,6,1,100,0,0,6,65,1,10,20000,1,11
2023,202301,24152,2023001387320,33048.0,2023000241521,200001,1,1,33048.0,0,2,65,5,2,200,0,0,6,63,1,10,17000,1,11
2023,202301,24962,2023001441373,19440.0,2023000249621,150101,1,1,19440.0,2,1,45,1,1,100,0,0,10,101,1,10,175000,1,11
2023,202301,24962,2023001441373,19440.0,2023000249621,150101,1,2,17334.0,2,2,45,1,1,100,0,0,11,114,1,10,65000,1,11
2023,202301,25124,2023001453152,15228.0,2023000251241,150101,1,1,15228.0,3,2,57,5,1,100,0,0,8,81,1,10,28000,1,11
2023,202301,25124,2023001453152,15228.0,2023000251241,150101,1,3,25758.0,0,2,24,6,1,100,0,0,6,65,1,10,28000,1,11
2023,202301,25124,2023001453152,15228.0,2023000251241,150101,1,4,19440.0,0,1,18,6,1,100,0,0,5,50,1,10,4000,1,13
2023,202301,25124,2023001453152,15228.0,2023000251241,150101,1,5,11988.0,0,1,32,6,1,100,0,0,6,63,1,10,40000,1,11
2023,202301,25610,2023010112683,19116.0,2023000256101,40002,4,1,19116.0,0,1,36,2,2,200,0,0,7,71,1,10,27000,1,11
2023,202301,25934,2023000048495,82458.0,2023000259341,10102,1,1,82458.0,0,1,22,6,1,100,1,100,6,64,1,14,40000,1,13
2023,202301,25934,2023000048495,82458.0,2023000259341,10102,1,2,97686.0,0,2,29,6,1,100,1,100,7,71,1,10,37000,1,11
2023,202301,26096,2023000152090,5184.0,2023000260961,20002,1,2,5346.0,0,1,61,4,1,100,0,0,6,64,1,10,72000,1,11
2023,202301,26420,2023000341198,43416.0,2023000264201,10202,1,1,43416.0,0,1,56,4,1,100,0,0,11,114,1,10,105000,2,20
2023,202301,27068,2023000742685,16200.0,2023000270681,40002,1,1,16200.0,0,1,58,2,1,100,0,0,7,71,1,10,145000,1,11
2023,202301,27230,2023000844335,26892.0,2023000272301,30002,1,1,26892.0,0,1,50,1,8,802,0,0,6,63,1,10,84000,2,20
2023,202301,27392,2023000937627,42768.0,2023000273921,20002,1,1,42606.0,0,2,60,2,8,826,0,0,7,71,1,10,70000,1,11
2023,202301,27716,2023001130293,39204.0,2023000277161,10102,1,1,39204.0,0,2,29,4,1,100,0,0,6,63,1,10,0,1,11
2023,202301,27878,2023001220413,7776.0,2023000278781,20002,1,1,7776.0,0,2,26,1,1,100,0,0,11,114,1,10,75000,1,11
2023,202301,27878,2023001220413,7776.0,2023000278781,20002,1,2,4050.0,0,1,33,1,1,100,0,0,7,71,1,10,57000,1,11
2023,202301,27878,2023001220413,7776.0,2023000278781,20002,1,3,5022.0,0,2,30,6,1,100,0,0,10,101,1,10,40000,1,11
2023,202301,28202,2023001422445,3888.0,2023000282021,40002,1,1,3726.0,3,2,36,1,8,802,0,0,8,81,1,10,41000,1,11
2023,202301,29660,2023010059401,11988.0,2023000296601,11804,4,1,11988.0,0,1,32,2,1,100,0,0,7,71,1,10,4200,1,11
2023,202301,30956,2023010118358,648.0,2023000309561,190404,4,1,648.0,0,1,44,6,1,100,0,0,6,61,1,10,3200,1,11
2023,202301,31766,2023010154153,6966.0,2023000317661,190704,4,1,6966.0,0,2,19,6,1,100,0,0,6,63,1,10,14300,1,11
2023,202301,33224,2023000045245,11016.0,2023000332241,190304,1,1,11016.0,0,1,34,6,1,100,0,0,7,71,1,10,35000,1,11
2023,202301,33224,2023000045245,11016.0,2023000332241,190304,1,2,8586.0,0,2,41,4,7,700,1,100,7,71,1,10,40000,1,11
2023,202301,33386,2023000053675,39366.0,2023000333861,13504,1,1,39366.0,3,2,38,2,1,100,0,0,7,71,1,10,35000,1,11
2023,202301,33548,2023000060985,18792.0,2023000335481,10604,1,1,18792.0,0,2,57,1,1,100,0,0,10,101,1,10,140000,1,11
2023,202301,33710,2023000067826,7938.0,2023000337101,190104,1,2,6804.0,0,2,24,6,3,325,0,0,6,65,1,10,25000,1,11
2023,202301,33872,2023000075425,8262.0,2023000338721,11204,1,1,8100.0,2,1,41,1,8,826,4,498,10,101,1,10,90000,1,11
2023,202301,34196,2023000091569,22194.0,2023000341961,13404,1,1,22194.0,0,2,46,1,1,100,0,0,6,63,1,10,48000,1,11
2023,202301,34196,2023000091569,22194.0,2023000341961,13404,1,2,22518.0,0,1,48,1,1,100,1,100,6,65,1,10,70000,1,11
2023,202301,34358,2023000099537,10206.0,2023000343581,190304,1,1,10206.0,1,2,50,1,1,100,0,0,11,114,1,10,72000,1,11
2023,202301,34358,2023000099537,10206.0,2023000343581,190304,1,2,10692.0,1,1,52,1,1,100,0,0,10,101,1,10,0,1,11
2023,202301,34358,2023000099537,10206.0,2023000343581,190304,1,3,15066.0,0,2,20,6,1,100,0,0,10,101,1,10,20000,1,11
2023,202301,34520,2023000107937,14742.0,2023000345201,60104,1,1,14742.0,0,1,57,1,1,100,0,0,7,71,1,10,51000,1,11
2023,202301,34520,2023000107937,14742.0,2023000345201,60104,1,2,15228.0,0,2,59,1,8,826,1,100,6,63,1,10,42000,1,11
2023,202301,35006,2023000130996,22032.0,2023000350061,11504,1,3,31428.0,0,1,32,6,1,100,0,0,6,63,1,10,61000,1,11
2023,202301,35330,2023000145995,7614.0,2023000353301,10904,1,1,7614.0,2,2,55,4,8,826,1,100,10,101,1,10,50000,1,11
2023,202301,35330,2023000145995,7614.0,2023000353301,10904,1,2,8586.0,0,2,30,6,8,826,1,100,6,63,1,10,20000,1,11
2023,202301,35330,2023000145995,7614.0,2023000353301,10904,1,3,8748.0,0,2,19,6,8,826,1,100,6,63,1,10,26400,1,11
2023,202301,35654,2023000162974,21870.0,2023000356541,80304,1,2,23166.0,0,2,62,1,1,100,0,0,6,63,1,10,35000,1,11
2023,202301,35816,2023000170981,17334.0,2023000358161,10904,1,1,17334.0,1,1,56,1,8,826,4,450,11,116,1,10,15000,1,11
2023,202301,35816,2023000170981,17334.0,2023000358161,10904,1,2,15876.0,1,2,53,1,1,100,0,0,7,71,1,10,53000,1,11
2023,202301,35816,2023000170981,17334.0,2023000358161,10904,1,3,18468.0,0,2,23,6,8,826,4,450,6,65,1,10,20000,1,11
2023,202301,35978,2023000179373,11178.0,2023000359781,190904,1,1,11178.0,4,2,37,1,1,100,1,100,10,101,1,10,600,1,11
2023,202301,35978,2023000179373,11178.0,2023000359781,190904,1,2,13284.0,4,1,39,1,8,813,0,0,6,65,1,10,66000,1,11
2023,202301,36140,2023000187316,23976.0,2023000361401,11604,1,1,23976.0,2,2,44,1,8,826,1,100,2,23,1,10,0,1,11
2023,202301,36140,2023000187316,23976.0,2023000361401,11604,1,2,23814.0,2,1,48,1,8,826,1,100,2,26,1,10,21100,1,11
2023,202301,36302,2023000195912,9396.0,2023000363021,11704,1,1,9396.0,2,2,53,1,8,826,0,0,11,115,1,10,69000,1,11
2023,202301,36302,2023000195912,9396.0,2023000363021,11704,1,2,9072.0,2,1,53,1,8,826,0,0,11,115,1,10,250000,1,11
2023,202301,37112,2023000235726,6966.0,2023000371121,11804,1,3,6642.0,0,2,21,6,1,100,0,0,5,50,1,10,5000,1,11
2023,202301,37112,2023000235726,6966.0,2023000371121,11804,1,4,11178.0,0,2,21,6,2,200,0,0,6,64,1,10,5000,1,11
2023,202301,37112,2023000235726,6966.0,2023000371121,11804,1,5,6642.0,0,2,20,6,1,100,0,0,4,40,1,10,25000,1,11
2023,202301,37274,2023000244020,42282.0,2023000372741,13104,1,2,38556.0,2,1,41,1,7,700,1,100,6,65,1,10,75000,1,11
2023,202301,37274,2023000244020,42282.0,2023000372741,13104,1,3,43092.0,0,2,20,6,7,700,1,100,6,63,1,10,20000,1,11
2023,202301,37436,2023000252479,11664.0,2023000374361,50004,1,1,11664.0,3,2,51,1,3,315,0,0,11,114,1,10,80000,1,11
2023,202301,37436,2023000252479,11664.0,2023000374361,50004,1,3,8424.0,0,2,26,6,3,315,0,0,10,101,1,10,45000,1,11
2023,202301,37598,2023000260852,10044.0,2023000375981,13204,1,1,10044.0,4,2,41,1,1,100,0,0,7,71,1,10,30000,1,11
2023,202301,37598,2023000260852,10044.0,2023000375981,13204,1,2,11826.0,4,1,40,1,8,826,1,100,6,63,1,10,87000,1,11
2023,202301,37760,2023000267906,16524.0,2023000377601,10904,1,1,16524.0,0,2,33,6,1,100,0,0,10,101,1,10,11800,1,11
2023,202301,37922,2023000274918,11988.0,2023000379221,13204,1,2,11016.0,1,2,32,1,2,200,0,0,10,101,1,10,800,1,11
2023,202301,38408,2023000298797,46170.0,2023000384081,190704,1,1,46332.0,0,1,39,6,1,100,0,0,10,101,1,10,140000,1,11
2023,202301,38570,2023000307506,9396.0,2023000385701,13504,1,1,9558.0,1,2,48,1,1,100,0,0,6,65,1,10,48000,1,11
2023,202301,38570,2023000307506,9396.0,2023000385701,13504,1,2,9558.0,1,1,52,1,1,100,0,0,6,64,1,10,50000,1,11
2023,202301,38732,2023000315607,45036.0,2023000387321,80304,1,1,45036.0,3,2,29,1,8,812,0,0,8,81,1,10,58000,1,11
2023,202301,38732,2023000315607,45036.0,2023000387321,80304,1,2,49086.0,3,1,45,1,1,100,0,0,7,71,1,10,30000,1,11
2023,202301,39056,2023000331934,69336.0,2023000390561,13204,1,1,69336.0,0,1,51,1,1,100,0,0,8,81,1,10,85000,1,11
2023,202301,39056,2023000331934,69336.0,2023000390561,13204,1,2,73062.0,0,2,60,1,8,826,4,498,6,63,1,10,40000,1,11
2023,202301,39380,2023000348981,35478.0,2023000393801,10704,1,1,35478.0,3,1,43,1,1,100,0,0,10,101,1,10,46000,1,11
2023,202301,39380,2023000348981,35478.0,2023000393801,10704,1,2,35640.0,3,2,38,1,1,100,1,100,11,114,1,10,56000,1,11
2023,202301,39542,2023000358281,17820.0,2023000395421,12504,1,1,17820.0,4,2,43,1,1,100,0,0,10,101,1,10,32600,1,11
2023,202301,39542,2023000358281,17820.0,2023000395421,12504,1,2,16686.0,4,1,46,1,1,100,0,0,11,114,1,10,60000,1,11
2023,202301,39866,2023000375338,27378.0,2023000398661,11504,1,2,28836.0,1,1,45,6,8,826,1,100,1,15,1,10,70000,1,11
2023,202301,40514,2023000406038,11988.0,2023000405141,11604,1,1,11988.0,0,1,41,6,1,100,0,0,11,114,1,10,125000,1,11
2023,202301,40676,2023000413921,3078.0,2023000406761,100004,1,2,2430.0,2,2,46,2,3,315,0,0,7,71,1,10,36000,1,11
